Brent_Close,Brent_High,Brent_Low,Brent_Volume,WTI_Close,WTI_High,WTI_Low,WTI_Volume
42.029998779296875,42.619998931884766,41.029998779296875,26731,39.81999969482422,40.58000183105469,39.04999923706055,407170.0
43.13999938964844,43.220001220703125,41.75,21825,40.650001525878906,40.7400016784668,39.459999084472656,347096.0
43.099998474121094,43.709999084472656,42.75,28969,40.630001068115234,41.08000183105469,39.84000015258789,373236.0
43.08000183105469,43.45000076293945,42.459999084472656,18827,40.619998931884766,40.95000076293945,39.900001525878906,256596.0
43.290000915527344,43.459999084472656,42.779998779296875,19171,40.900001525878906,41.08000183105469,40.29999923706055,286740.0
42.349998474121094,43.5,41.93000030517578,23249,39.619998931884766,40.9900016784668,39.27000045776367,367386.0
43.2400016784668,43.40999984741211,41.31999969482422,24083,40.54999923706055,40.77000045776367,38.540000915527344,393149.0
42.720001220703125,43.33000183105469,42.189998626708984,22911,40.099998474121094,40.720001220703125,39.470001220703125,370715.0
42.900001525878906,43.20000076293945,41.79999923706055,21724,40.290000915527344,40.56999969482422,39.06999969482422,426971.0
43.790000915527344,43.84000015258789,42.70000076293945,23596,41.20000076293945,41.2599983215332,40.08000183105469,352542.0
43.369998931884766,43.810001373291016,43.13999938964844,20484,40.75,41.18000030517578,40.52000045776367,200101.0
43.13999938964844,43.459999084472656,42.630001068115234,21774,40.59000015258789,40.900001525878906,40.02000045776367,88220.0
43.279998779296875,43.43000030517578,42.369998931884766,18019,40.810001373291016,40.90999984741211,39.83000183105469,60179.0
44.31999969482422,44.880001068115234,43.119998931884766,24167,41.959999084472656,42.400001525878906,40.63999938964844,389117.0
44.290000915527344,44.400001525878906,43.619998931884766,19676,41.900001525878906,42.029998779296875,41.13999938964844,333647.0
43.310001373291016,44.77000045776367,43.130001068115234,25759,41.06999969482422,42.36000061035156,40.83000183105469,389412.0
43.34000015258789,43.900001525878906,42.79999923706055,21918,41.290000915527344,41.66999816894531,40.65999984741211,353159.0
43.40999984741211,43.77000045776367,42.380001068115234,22507,41.599998474121094,41.81999969482422,40.47999954223633,377714.0
43.220001220703125,43.81999969482422,43.0099983215332,17828,41.040000915527344,41.93000030517578,40.849998474121094,276804.0
43.75,43.939998626708984,43.20000076293945,10911,41.27000045776367,41.56999969482422,40.93000030517578,295855.0
42.939998626708984,43.81999969482422,41.380001068115234,8373,39.91999816894531,41.38999938964844,38.720001220703125,487325.0
43.29999923706055,43.52000045776367,43.06999969482422,23641,40.27000045776367,40.54999923706055,39.65999984741211,318788.0
44.150001525878906,44.45000076293945,42.88999938964844,26883,41.0099983215332,41.2400016784668,39.58000183105469,338326.0
44.43000030517578,44.81999969482422,43.2400016784668,27305,41.70000076293945,42.08000183105469,40.13999938964844,451575.0
45.16999816894531,46.2400016784668,44.25,29337,42.189998626708984,43.52000045776367,41.470001220703125,491268.0
45.09000015258789,45.709999084472656,44.849998474121094,23131,41.95000076293945,42.650001525878906,41.61000061035156,359610.0
44.400001525878906,45.25,44.2599983215332,20363,41.220001220703125,42.220001220703125,41.060001373291016,398997.0
44.9900016784668,45.2599983215332,44.400001525878906,13672,41.939998626708984,42.33000183105469,41.16999816894531,367796.0
44.5,45.779998779296875,44.40999984741211,19786,41.61000061035156,42.939998626708984,41.47999954223633,432843.0
45.43000030517578,45.619998931884766,44.5099983215332,16995,42.66999816894531,42.900001525878906,41.529998779296875,397831.0
44.959999084472656,45.58000183105469,44.81999969482422,13877,42.2400016784668,42.84000015258789,42.09000015258789,329507.0
44.79999923706055,45.41999816894531,44.47999954223633,16681,42.0099983215332,42.56999969482422,41.619998931884766,310866.0
45.369998931884766,45.41999816894531,44.5,19441,42.88999938964844,42.970001220703125,41.79999923706055,208429.0
45.459999084472656,45.540000915527344,44.77000045776367,18063,42.88999938964844,42.9900016784668,42.11000061035156,111628.0
45.369998931884766,45.4900016784668,44.810001373291016,18063,42.93000030517578,43.029998779296875,42.36000061035156,81299.0
44.900001525878906,45.27000045776367,44.0099983215332,24042,42.58000183105469,42.790000915527344,41.5,377070.0
44.349998474121094,45.119998931884766,43.599998474121094,25495,42.34000015258789,42.959999084472656,41.459999084472656,345368.0
45.130001068115234,45.16999816894531,44.279998779296875,21033,42.619998931884766,42.88999938964844,42.22999954223633,294731.0
45.86000061035156,46.040000915527344,44.9900016784668,23808,43.349998474121094,43.56999969482422,42.310001373291016,330800.0
45.63999938964844,46.09000015258789,45.54999923706055,16657,43.38999938964844,43.779998779296875,43.0,262243.0
45.09000015258789,45.81999969482422,44.560001373291016,10776,43.040000915527344,43.5,42.36000061035156,320968.0
45.04999923706055,45.290000915527344,44.81999969482422,21040,42.970001220703125,43.41999816894531,42.689998626708984,272800.0
45.279998779296875,46.5099983215332,45.220001220703125,18967,42.61000061035156,43.56999969482422,42.560001373291016,236877.0
45.58000183105469,46.220001220703125,45.470001220703125,19914,42.7599983215332,43.43000030517578,42.720001220703125,285146.0
44.43000030517578,46.040000915527344,44.20000076293945,31416,41.5099983215332,43.209999084472656,41.22999954223633,421771.0
44.06999969482422,44.61000061035156,43.15999984741211,30615,41.369998931884766,41.790000915527344,40.220001220703125,417634.0
42.65999984741211,44.540000915527344,42.29999923706055,32210,39.77000045776367,41.869998931884766,39.349998474121094,444184.0
39.779998779296875,42.45000076293945,39.29999923706055,52172,36.7599983215332,39.59000015258789,36.130001068115234,720975.0
40.790000915527344,41.20000076293945,39.279998779296875,30286,38.04999923706055,38.45000076293945,36.15999984741211,455356.0
