Timestamp,PPXDK00 |FO 380 CST 3.5%S FOB SPORE CARGO(USD/MT) : CLOSE,PPXDK00 |FO 380 CST 3.5%S FOB SPORE CARGO(USD/MT) : HIGH,PPXDK00 |FO 380 CST 3.5%S FOB SPORE CARGO(USD/MT) : LOW
7/22/2025,401.13,401.15,401.11
7/21/2025,403.8,403.82,403.78
7/18/2025,403.48,403.5,403.46
7/17/2025,395.67,395.69,395.65
7/16/2025,399.16,399.18,399.14
7/15/2025,397.93,397.95,397.91
7/14/2025,402.65,402.67,402.63
7/11/2025,404.15,404.17,404.13
7/10/2025,418.7,418.72,418.68
7/9/2025,420.51,420.53,420.49
7/8/2025,416.16,416.18,416.14
7/7/2025,406.71,406.73,406.69
7/4/2025,407.67,407.69,407.65
7/3/2025,406.75,406.77,406.73
7/2/2025,406.66,406.68,406.64
7/1/2025,403.89,403.91,403.87
6/30/2025,419.41,419.43,419.39
6/27/2025,417.52,417.54,417.5
6/26/2025,427.65,427.67,427.63
6/25/2025,423.72,423.74,423.7
6/24/2025,430.94,430.96,430.92
6/23/2025,476.08,476.1,476.06
6/20/2025,479.32,479.34,479.3
6/19/2025,485.23,485.25,485.21
6/18/2025,486.68,486.7,486.66
6/17/2025,486.18,486.2,486.16
6/16/2025,483.42,483.44,483.4
6/13/2025,474.17,474.19,474.15
6/12/2025,445.98,446,445.96
6/11/2025,435.65,435.67,435.63
6/10/2025,442.58,442.6,442.56
6/9/2025,435.04,435.06,435.02
6/6/2025,431.06,431.08,431.04
6/5/2025,434.41,434.43,434.39
6/4/2025,433.48,433.5,433.46
6/3/2025,423.24,423.26,423.22
6/2/2025,415.09,415.11,415.07
5/30/2025,420.31,420.33,420.29
5/29/2025,434.66,434.68,434.64
5/28/2025,428.38,428.4,428.36
5/27/2025,420.45,420.47,420.43
5/26/2025,428.53,428.55,428.51
5/23/2025,431.41,431.43,431.39
5/22/2025,431.31,431.33,431.29
5/21/2025,442.97,442.99,442.95
5/20/2025,434.7,434.72,434.68
5/19/2025,431.25,431.27,431.23
5/16/2025,431.98,432,431.96
5/15/2025,426.02,426.04,426
5/14/2025,433.88,433.9,433.86
5/13/2025,428.77,428.79,428.75
5/9/2025,412.89,412.91,412.87
5/8/2025,402.42,402.44,402.4
5/7/2025,404.2,404.22,404.18
5/6/2025,395.7,395.72,395.68
5/5/2025,386.38,386.4,386.36
5/2/2025,398.37,398.39,398.35
4/30/2025,409.16,409.18,409.14
4/29/2025,416.73,416.75,416.71
4/28/2025,423.46,423.48,423.44
4/25/2025,425.99,426.01,425.97
4/24/2025,423.58,423.6,423.56
4/23/2025,437.35,437.37,437.33
4/22/2025,423.88,423.9,423.86
4/21/2025,417.37,417.39,417.35
4/17/2025,419.27,419.29,419.25
4/16/2025,413.69,413.71,413.67
