Trade_#,Trade_Type,Direction,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Units,Entry_Notional,Conviction,Realized_PnL,Unrealized_PnL,PnL_Pct
23,ADD_ON,SHORT,2021-06-07,71.48999786376953,2021-06-14,72.86000061035156,12930.849832094344,924426.4268731492,0.33594513,-23830.215605310525,0.0,-2.5778379882448483
24,REDUCE,SHORT,2021-06-08,72.22000122070312,2021-06-14,72.86000061035156,1120.8534167412545,80948.03512528267,0.36567095,-2086.7092001973197,0.0,-2.577837988244848
25,REDUCE,SHORT,2021-06-09,72.22000122070312,2021-06-14,72.86000061035156,2317.6707810680928,167382.18663792562,0.41652477,-4314.841592707339,0.0,-2.5778379882448483
26,ADD_ON,SHORT,2021-06-10,72.5199966430664,2021-06-14,72.86000061035156,3674.0529695723817,266442.3090198373,0.33799717,-6868.451058670095,0.0,-2.5778379882448483
27,NEW,LONG,2021-06-14,72.86000061035156,2021-07-08,74.12000274658203,37736.843515496024,2749506.441571782,0.6686845,12738.993518912597,0.0,0.4633192825556804
28,ADD_ON,LONG,2021-06-18,73.51000213623047,2021-07-08,74.12000274658203,2597.534238215543,190944.74740015637,0.7443272,884.6838337321606,0.0,0.4633192825556803
29,REDUCE,LONG,2021-06-21,74.9000015258789,2021-07-08,74.12000274658203,15222.558175723654,1140169.6305894821,0.41123462,5282.62575236494,0.0,0.4633192825556804
30,ADD_ON,LONG,2021-06-22,74.80999755859375,2021-07-08,74.12000274658203,2887.712698792886,216029.77994661598,0.4769156,1000.9076265552761,0.0,0.4633192825556803
31,REDUCE,LONG,2021-06-23,75.19000244140625,2021-07-08,74.12000274658203,3122.944512949005,234814.20555301194,0.40803778,1087.9394925070355,0.0,0.4633192825556804
32,ADD_ON,LONG,2021-06-24,75.55999755859375,2021-07-08,74.12000274658203,3203.634426332039,242066.60943227576,0.48524106,1121.5412781284808,0.0,0.4633192825556803
33,REDUCE,LONG,2021-06-28,74.68000030517578,2021-07-08,74.12000274658203,7215.443973306064,538849.3581284756,0.31208658,2496.5929801367415,0.0,0.4633192825556803
34,ADD_ON,LONG,2021-06-29,74.76000213623047,2021-07-08,74.12000274658203,6531.387468889159,488286.54112670245,0.4626261,2262.3256991641847,0.0,0.4633192825556803
35,REDUCE,LONG,2021-06-30,75.12999725341797,2021-07-08,74.12000274658203,5463.170203689642,410447.9623981577,0.3396299,1901.6845546475529,0.0,0.4633192825556804
36,ADD_ON,LONG,2021-07-01,75.83999633789062,2021-07-08,74.12000274658203,17298.009742517632,1311880.9955253336,0.7474916,6078.197616452292,0.0,0.4633192825556803
37,REDUCE,LONG,2021-07-02,76.16999816894531,2021-07-08,74.12000274658203,169.96591662652645,12946.30355822563,0.7474916,59.98272076345151,0.0,0.4633192825556804
38,REDUCE,LONG,2021-07-06,74.52999877929688,2021-07-08,74.12000274658203,18532.956798334784,1381261.247556653,0.30341482,6399.649702399125,0.0,0.4633192825556804
39,NEW,SHORT,2021-07-08,74.12000274658203,2021-07-19,68.62000274658203,24046.465316341673,1782324.0752928343,0.38095462,62241.83343137396,0.0,3.4921726241703652
40,REDUCE,SHORT,2021-07-09,75.55000305175781,2021-07-19,68.62000274658203,12307.876185033354,929860.0833399273,0.6737913,32472.319273484678,0.0,3.4921726241703652
41,REDUCE,SHORT,2021-07-12,75.16000366210938,2021-07-19,68.62000274658203,6031.844175276565,453353.4303030597,0.8081801,15831.884383780725,0.0,3.4921726241703652
42,REDUCE,SHORT,2021-07-13,76.48999786376953,2021-07-19,68.62000274658203,1007.0699226519209,77030.77623231198,0.8490021,2690.047679770731,0.0,3.4921726241703652
43,ADD_ON,SHORT,2021-07-14,74.76000213623047,2021-07-19,68.62000274658203,12499.549146181416,934466.3208704405,0.54008126,32633.17703952952,0.0,3.4921726241703652
44,REDUCE,SHORT,2021-07-15,73.47000122070312,2021-07-19,68.62000274658203,346.8630751975579,25484.03055818142,0.53568435,889.9463386880218,0.0,3.4921726241703652
