date,equity,position,price,realized_pnl,unrealized_pnl
2021-04-19,10000000.0,-32796.96187559135,67.05000305175781,0.0,0.0
2021-04-20,10015742.651797507,-27838.584887783527,66.56999969482422,0.0,15742.651797506725
2021-04-21,10050540.882907236,-27838.584887783527,65.31999969482422,0.0,50540.88290723623
2021-04-22,10048313.745142242,-27838.584887783527,65.4000015258789,0.0,48313.74514224217
2021-04-23,10028548.375358902,-27838.584887783527,66.11000061035156,0.0,28548.375358901452
2021-04-26,10041354.098920297,26941.128902415287,65.6500015258789,41354.09892029618,0.0
2021-04-27,10062098.677735576,46785.5399895522,66.41999816894531,41354.09892029618,20744.57881527953
2021-04-28,10101866.315337628,42693.86748192236,67.2699966430664,41354.09892029618,60512.21641733032
2021-04-29,10156941.44347671,42693.86748192236,68.55999755859375,41354.09892029618,115587.34455641313
2021-04-30,10101012.581308465,42693.86748192236,67.25,41354.09892029618,59658.482388169505
2021-05-03,10114247.575994788,42693.86748192236,67.55999755859375,41354.09892029618,72893.47707449086
2021-05-04,10170603.46804179,39079.44078561979,68.87999725341797,41354.09892029618,129249.36912149424
2021-05-05,10173729.894861234,43801.79144056815,68.95999908447266,41354.09892029618,132375.795940937
2021-05-06,10135622.216002725,45373.86281957904,68.08999633789062,41354.09892029618,94268.11708242912
2021-05-07,10144243.360714478,46468.85059979079,68.27999877929688,41354.09892029618,102889.26179418154
2021-05-10,10146102.157281972,50487.761685175064,68.31999969482422,41354.09892029618,104748.05836167652
2021-05-11,10157714.511953626,50639.73386854653,68.55000305175781,41354.09892029618,116360.41303332988
2021-05-12,10196706.937038183,50421.362936541525,69.31999969482422,41354.09892029618,155352.8381178868
2021-05-13,10082250.612433402,54528.51450312398,67.05000305175781,41354.09892029618,40896.51351310499
2021-05-14,10172767.730178421,48970.573513234995,68.70999908447266,41354.09892029618,131413.6312581245
2021-05-17,10209495.660313347,36137.890663860875,69.45999908447266,41354.09892029618,168141.56139305094
2021-05-18,10182392.242315453,30849.921518850784,68.70999908447266,41354.09892029618,141038.1433951552
2021-05-19,10119150.044421542,30849.921518850784,66.66000366210938,41354.09892029618,77795.94550124463
2021-05-20,10071332.571920834,50357.190785190156,65.11000061035156,41354.09892029618,29978.47300053714
2021-05-21,10138307.727871906,50357.190785190156,66.44000244140625,41354.09892029618,96953.62895161007
2021-05-24,10240029.084212245,-26715.08474718516,68.45999908447266,240029.08421224472,0.0
2021-05-25,10234953.152887905,-23060.572239063044,68.6500015258789,240029.08421224472,-5075.93132434017
2021-05-26,10229879.798845198,-26627.445484080512,68.87000274658203,240029.08421224472,-10149.285367046483
2021-05-27,10214169.70352221,-28937.648111909897,69.45999908447266,240029.08421224472,-25859.38069003634
2021-05-28,10209250.356329601,-28937.648111909897,69.62999725341797,240029.08421224472,-30778.727882644627
2021-06-01,10191308.935020592,-28937.648111909897,70.25,240029.08421224472,-48720.14919165312
2021-06-02,10159477.566252839,-28937.648111909897,71.3499984741211,240029.08421224472,-80551.5179594073
2021-06-03,10160635.098670524,-28937.648111909897,71.30999755859375,240029.08421224472,-79393.98554172274
2021-06-04,10143851.2097792,-36071.37251634962,71.88999938964844,240029.08421224472,-96177.87443304667
2021-06-07,10158279.813826285,-23140.517191091047,71.48999786376953,240029.08421224472,-81749.27038596058
2021-06-08,10141387.158595609,-24261.370610887156,72.22000122070312,240029.08421224472,-98641.92561663664
2021-06-09,10141387.158595609,-26579.041398271995,72.22000122070312,240029.08421224472,-98641.92561663664
2021-06-10,10133413.567845322,-22904.988418686087,72.5199966430664,240029.08421224472,-106615.5163669223
